"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.288783833E0,-1.547781372E-1,7.679031372E-2,9.839937744E0,9.841454559E0
2.298732833E0,-1.498384094E-1,7.469467163E-2,9.839338989E0,9.840763313E0
2.308681833E0,-1.535806274E-1,7.379653931E-2,9.838141479E0,9.839616898E0
2.318630833E0,-1.619631958E-1,7.439529419E-2,9.840386810E0,9.842000778E0
2.328580833E0,-1.499880981E-1,6.975494385E-2,9.837093658E0,9.838484326E0
2.338529833E0,-1.505868530E-1,7.918533325E-2,9.835297394E0,9.836768857E0
2.348478833E0,-1.592687988E-1,7.349716187E-2,9.847871246E0,9.849433307E0
2.358427833E0,-1.689985657E-1,7.080276489E-2,9.843230896E0,9.844936161E0
2.368377833E0,-1.541793823E-1,7.828720093E-2,9.850565643E0,9.852083214E0
2.378326833E0,-1.573228455E-1,7.259902954E-2,9.839039612E0,9.840565105E0
2.388275833E0,-1.532812500E-1,7.888595581E-2,9.838440857E0,9.839951048E0
2.398224833E0,-1.471440125E-1,7.813751221E-2,9.832303619E0,9.833715030E0
2.408174833E0,-1.490899658E-1,7.185058594E-2,9.836494904E0,9.837887086E0
2.418123833E0,-1.481918335E-1,7.559280396E-2,9.841434631E0,9.842840581E0
2.428072833E0,-1.573228455E-1,7.619155884E-2,9.841434631E0,9.842986906E0
2.438021833E0,-1.583706665E-1,7.813751221E-2,9.835896149E0,9.837481374E0
2.447971833E0,-1.550775146E-1,7.050338745E-2,9.843979340E0,9.845453215E0
2.457920833E0,-1.552272034E-1,7.634124756E-2,9.850565643E0,9.852084397E0
2.467869833E0,-1.567240906E-1,8.023315430E-2,9.846374359E0,9.847948407E0
2.477818833E0,-1.621128845E-1,7.364685059E-2,9.841584320E0,9.843194927E0
2.487768833E0,-1.546284485E-1,7.274871826E-2,9.848769379E0,9.850251804E0
2.497717833E0,-1.558259583E-1,7.903564453E-2,9.842332764E0,9.843883512E0
2.507666833E0,-1.553768921E-1,7.259902954E-2,9.834698639E0,9.836193873E0
2.517615833E0,-1.553768921E-1,7.125183105E-2,9.839039612E0,9.840524340E0
2.527564833E0,-1.597178650E-1,6.945556641E-2,9.841883698E0,9.843424637E0
2.537514833E0,-1.547781372E-1,7.155120850E-2,9.842632141E0,9.844109066E0
2.547463833E0,-1.556762695E-1,7.364685059E-2,9.844578094E0,9.846084339E0
2.557412833E0,-1.505868530E-1,7.020401001E-2,9.839039612E0,9.840442342E0
2.567361833E0,-1.490899658E-1,7.918533325E-2,9.835297394E0,9.836746055E0
2.577311833E0,-1.556762695E-1,6.975494385E-2,9.844129028E0,9.845606999E0
2.587260833E0,-1.574725342E-1,7.783813477E-2,9.845925293E0,9.847492130E0
2.597209833E0,-1.582209778E-1,7.649093628E-2,9.840237122E0,9.841806305E0
2.607158833E0,-1.516346741E-1,6.735992432E-2,9.848619690E0,9.850017271E0
2.617108833E0,-1.544787598E-1,7.319778442E-2,9.838889923E0,9.840374816E0
2.627057833E0,-1.598675537E-1,7.469467163E-2,9.846374359E0,9.847955369E0
2.637006833E0,-1.568737793E-1,7.274871826E-2,9.838889923E0,9.840409376E0
2.646955833E0,-1.478924561E-1,7.933502197E-2,9.842183075E0,9.843613864E0
2.656905833E0,-1.546284485E-1,6.601272583E-2,9.843530273E0,9.844966017E0
2.666854833E0,-1.520837402E-1,7.694000244E-2,9.842183075E0,9.843658716E0
2.676803833E0,-1.525328064E-1,7.095245361E-2,9.839638367E0,9.841076348E0
2.686752833E0,-1.567240906E-1,7.708969116E-2,9.834848328E0,9.836399081E0
2.696702833E0,-1.490899658E-1,7.110214233E-2,9.837243347E0,9.838629986E0
2.706651833E0,-1.612147522E-1,7.289840698E-2,9.840237122E0,9.841827624E0
2.716600833E0,-1.562750244E-1,7.304809570E-2,9.840386810E0,9.841898724E0
2.726549833E0,-1.514849854E-1,7.454498291E-2,9.839638367E0,9.841086721E0
2.736499833E0,-1.558259583E-1,7.738906860E-2,9.839788055E0,9.841326119E0
2.746448833E0,-1.613644409E-1,8.382568359E-2,9.834698639E0,9.836379545E0
2.756397833E0,-1.568737793E-1,7.738906860E-2,9.841734009E0,9.843288411E0
2.766346833E0,-1.546284485E-1,7.319778442E-2,9.838590546E0,9.840077835E0
2.776295833E0,-1.576222229E-1,7.289840698E-2,9.832902374E0,9.834435827E0
2.786245833E0,-1.535806274E-1,7.379653931E-2,9.839039612E0,9.840514896E0
2.796194833E0,-1.534309387E-1,7.708969116E-2,9.836494904E0,9.837993488E0
2.806143833E0,-1.475930786E-1,7.813751221E-2,9.832602997E0,9.834021094E0
2.816092833E0,-1.546284485E-1,7.155120850E-2,9.836345215E0,9.837820730E0
2.826042833E0,-1.507365417E-1,7.738906860E-2,9.848170624E0,9.849628176E0
2.835991833E0,-1.495390320E-1,7.349716187E-2,9.841883698E0,9.843294086E0
2.845940833E0,-1.555265808E-1,7.080276489E-2,9.835596771E0,9.837081142E0
2.855889833E0,-1.537303162E-1,7.948471069E-2,9.834698639E0,9.836221233E0
2.865839833E0,-1.538800049E-1,8.337661743E-2,9.839189301E0,9.840745745E0
2.875788833E0,-1.547781372E-1,7.439529419E-2,9.848170624E0,9.849667790E0
2.885737833E0,-1.523831177E-1,6.855743408E-2,9.845326538E0,9.846744405E0
2.895686833E0,-1.487905884E-1,7.619155884E-2,9.838740234E0,9.840160222E0
2.905636833E0,-1.523831177E-1,7.783813477E-2,9.837093658E0,9.838581759E0
2.915585833E0,-1.441502380E-1,7.319778442E-2,9.849667511E0,9.850994228E0
2.925534833E0,-1.543290710E-1,7.694000244E-2,9.836943970E0,9.838455361E0
